"categoria","producto","ficha","imagen","archivo"
"digestion","vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/digestion/vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/templates/yootheme/cache/e8/vinagre_sidra_manzana_packs_vitaminway-e8d24fdb.png","digestion\vinagre-de-sidra-de-manzana\04_vinagre_sidra_manzana_packs_vitaminway-e8d24fdb.png"
"digestion","vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/digestion/vinagre-de-sidra-de-manzana","https://www.guiavitaminway.com.ar/templates/yootheme/cache/f6/vinagre_de_sidra_de_manzana_cuadra-f6cc9b22.jpeg","digestion\vinagre-de-sidra-de-manzana\05_vinagre_de_sidra_de_manzana_cuadra-f6cc9b22.jpeg"
"energia-y-rendimiento-fisico","cafeina-energy","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/cafeina-energy","https://www.guiavitaminway.com.ar/templates/yootheme/cache/16/foto_cafeina_energy-16b9ceef.jpeg","energia-y-rendimiento-fisico\cafeina-energy\01_foto_cafeina_energy-16b9ceef.jpeg"
"energia-y-rendimiento-fisico","cafeina-energy","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/cafeina-energy","https://www.guiavitaminway.com.ar/templates/yootheme/cache/43/foto_cafeina_energy-43cb5e2c.jpeg","energia-y-rendimiento-fisico\cafeina-energy\02_foto_cafeina_energy-43cb5e2c.jpeg"
"energia-y-rendimiento-fisico","cafeina-energy","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/cafeina-energy","https://www.guiavitaminway.com.ar/templates/yootheme/cache/7a/Cuadro_cafeina-7a63b1cf.jpeg","energia-y-rendimiento-fisico\cafeina-energy\03_Cuadro_cafeina-7a63b1cf.jpeg"
"energia-y-rendimiento-fisico","cafeina-energy","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/cafeina-energy","https://www.guiavitaminway.com.ar/templates/yootheme/cache/8f/cafeina_energy_packs_vitaminway-8fec079e.png","energia-y-rendimiento-fisico\cafeina-energy\04_cafeina_energy_packs_vitaminway-8fec079e.png"
"energia-y-rendimiento-fisico","cafeina-energy","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/cafeina-energy","https://www.guiavitaminway.com.ar/templates/yootheme/cache/e4/cafeina_energy_packs_vitaminway-e4fccaac.png","energia-y-rendimiento-fisico\cafeina-energy\05_cafeina_energy_packs_vitaminway-e4fccaac.png"
"energia-y-rendimiento-fisico","colageno-sport","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/colageno-sport","https://www.guiavitaminway.com.ar/images/vitaminway_guia/como_se_usa/PREPARACION_COLAGENO_SPORT_X_360_GRAMOS.jpg","energia-y-rendimiento-fisico\colageno-sport\01_PREPARACION_COLAGENO_SPORT_X_360_GRAMOS.jpg"
"energia-y-rendimiento-fisico","colageno-sport","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/2d/colageno_sport_360_cuadro-2d98cf30.jpeg","energia-y-rendimiento-fisico\colageno-sport\02_colageno_sport_360_cuadro-2d98cf30.jpeg"
"energia-y-rendimiento-fisico","colageno-sport","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/6f/imagen_colageno_sport-6f75a320.jpeg","energia-y-rendimiento-fisico\colageno-sport\03_imagen_colageno_sport-6f75a320.jpeg"
"energia-y-rendimiento-fisico","colageno-sport","https://www.guiavitaminway.com.ar/energia-y-rendimiento-fisico/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/8b/imagen_colageno_sport-8b81a04b.jpeg","energia-y-rendimiento-fisico\colageno-sport\04_imagen_colageno_sport-8b81a04b.jpeg"
